Illness,Symptoms
"Common Cold","runny nose; sneezing; sore throat; cough; nasal congestion; mild headache; fatigue; possibly low‑grade fever; watery eyes"  
"Influenza (Flu)","high fever; chills; sore throat; cough; body aches; headache; fatigue"  
"COVID‑19","fever; cough; fatigue; loss of taste or smell; shortness of breath; body aches; headache; congestion; nausea; diarrhea"  
"Pneumonia","cough producing sputum; high fever; chills; chest pain; shortness of breath; fatigue; headache; loss of appetite; nausea; vomiting; diarrhea; joint or muscle aches; rapid heartbeat; dizziness; confusion (especially elderly)"  
"Tuberculosis","persistent cough; chest pain; coughing up blood; fever; night sweats; weight loss; fatigue"  
"HIV/AIDS","fever; fatigue; weight loss; night sweats; swollen lymph nodes; recurrent infections"  
"Dengue Fever","high fever; severe headache; joint and muscle pain; rash; fatigue; (possibly bleeding)"  
"Malaria","fever; chills; sweating; headache; muscle pain; fatigue; nausea; vomiting"  
"Gastroenteritis (Stomach Flu)","nausea; vomiting; diarrhea; stomach cramps; possibly fever"  
"Sinusitis","facial pain or pressure; headache; nasal congestion; sinus pressure; possible fever"  
"Urinary Tract Infection (UTI)","burning during urination; frequent urination; cloudy or strong-smelling urine; lower abdominal discomfort; possibly fever"  
"Allergies (rhinitis/food allergy)","sneezing; runny nose; nasal itching; itchy/watery eyes; hives or rash; GI distress (nausea, vomiting, diarrhea); swelling of lips/face/tongue; difficulty breathing or wheezing"  
"Conjunctivitis (Pink Eye)","red, itchy or gritty eyes; tearing; discharge; crusting eyelids; light sensitivity"  
"Mononucleosis","fever; sore throat; swollen lymph glands; fatigue; headache; muscle soreness; rash"  
"Strep Throat","sore throat; fever; red/swollen tonsils (sometimes with white spots); swollen lymph nodes; difficulty swallowing; headache; vomiting (children)"  
"Migraine","throbbing headache (one or both sides); nausea; light or sound sensitivity; dizziness; visual disturbances"  
"Arthritis (e.g., rheumatoid osteoarthritis)","joint pain; stiffness; swelling; limited range of motion"  
"Eczema","itchy, red, inflamed skin; dry or scaly patches; possible swelling"  
"Lyme Disease","fever; fatigue; chills; muscle and joint aches; swollen glands; bull’s‑eye rash (erythema migrans); in later stages, neurologic or cardiac symptoms"  
"Chickenpox","high fever; itchy rash and fluid‑filled blisters; fatigue; loss of appetite"  
"Measles","high fever; rash; cough; runny nose; red eyes (conjunctivitis); white spots inside mouth"  
"RSV (Respiratory Syncytial Virus)","cold‑like symptoms: cough; runny nose; fever; wheezing; shortness of breath"  
"Norovirus","sudden vomiting; watery diarrhea; nausea; stomach pain; sometimes low fever; body aches"  
